campo,valor
nombre,Ana García Martínez
fecha_nacimiento,1985-03-15
estado_civil,casado
regimen_economico,separacion
nacionalidad,es
anios_residencia,40
titulares,2
dependientes,1
bebes,0
discapacidad,no
ccaa,pv
municipio,media
vivienda_actual,alquiler
t1_contrato,indefinido
t1_antiguedad,8
t1_sector,tecnologia
t1_ingresos,3200
t1_pagas,14
t1_otros_ingresos,400
t2_contrato,funcionario
t2_antiguedad,6
t2_sector,publico
t2_ingresos,2100
t2_pagas,14
t2_otros_ingresos,0
cirbe,no
morosos,no
impagos,no
relacion_bancaria,10
g_personal,180
g_tarjetas,0
g_leasing,0
g_pension,0
g_alquiler,0
g_otros,0
g_alimentacion,700
g_suministros,180
g_transporte,120
g_educacion,80
g_seguros,90
g_ocio,200
ahorro,60000
inversiones,15000
inmuebles,0
vehiculos,12000
plan_pension,8000
otros_activos,0
d_personal,4000
d_tarjetas,0
d_hipoteca,0
d_otros,0
precio_compra,280000
valor_tasacion,285000
tipologia,primera
tipo_inmueble,piso
certificado_energetico,C
provincia,ss
importe_financiar,200000
plazo_anios,25
tipo_interes,fijo
tae,3.2
diferencial,0
carencia_meses,0
productos_vinculados,nomina|segurovida|segurohogar
