campo,valor
nombre,Carlos Romero López
fecha_nacimiento,1988-07-20
estado_civil,soltero
regimen_economico,no_aplica
nacionalidad,es
anios_residencia,37
titulares,1
dependientes,3
bebes,1
discapacidad,no
ccaa,and
municipio,gran
vivienda_actual,alquiler
t1_contrato,temporal
t1_antiguedad,0
t1_sector,hosteleria
t1_ingresos,1400
t1_pagas,12
t1_otros_ingresos,0
t2_contrato,sin_ingresos
t2_antiguedad,0
t2_sector,otro
t2_ingresos,0
t2_pagas,12
t2_otros_ingresos,0
cirbe,si_medio
morosos,si_pendiente
impagos,varios
relacion_bancaria,0
g_personal,320
g_tarjetas,150
g_leasing,0
g_pension,400
g_alquiler,650
g_otros,0
g_alimentacion,800
g_suministros,220
g_transporte,180
g_educacion,150
g_seguros,60
g_ocio,250
ahorro,8000
inversiones,0
inmuebles,0
vehiculos,3000
plan_pension,0
otros_activos,0
d_personal,12000
d_tarjetas,6000
d_hipoteca,0
d_otros,0
precio_compra,220000
valor_tasacion,215000
tipologia,primera
tipo_inmueble,piso
certificado_energetico,F
provincia,sev
importe_financiar,200000
plazo_anios,35
tipo_interes,variable
tae,4.8
diferencial,0.75
carencia_meses,0
productos_vinculados,
