campo,valor
nombre,Miguel Fernández Ortega
fecha_nacimiento,1979-11-08
estado_civil,casado
regimen_economico,gananciales
nacionalidad,es
anios_residencia,47
titulares,1
dependientes,2
bebes,0
discapacidad,no
ccaa,cat
municipio,gran
vivienda_actual,alquiler
t1_contrato,autonomo
t1_antiguedad,12
t1_sector,tecnologia
t1_ingresos,3800
t1_pagas,12
t1_otros_ingresos,600
t2_contrato,sin_ingresos
t2_antiguedad,0
t2_sector,otro
t2_ingresos,0
t2_pagas,12
t2_otros_ingresos,0
cirbe,si_bajo
morosos,no
impagos,no
relacion_bancaria,15
g_personal,0
g_tarjetas,120
g_leasing,350
g_pension,0
g_alquiler,0
g_otros,0
g_alimentacion,750
g_suministros,200
g_transporte,200
g_educacion,300
g_seguros,150
g_ocio,250
ahorro,28000
inversiones,45000
inmuebles,0
vehiculos,18000
plan_pension,22000
otros_activos,0
d_personal,0
d_tarjetas,3500
d_hipoteca,0
d_otros,0
precio_compra,420000
valor_tasacion,415000
tipologia,primera
tipo_inmueble,casa
certificado_energetico,B
provincia,bar
importe_financiar,370000
plazo_anios,20
tipo_interes,mixto
tae,3.8
diferencial,0.65
carencia_meses,0
productos_vinculados,nomina|segurovida|segurohogar|plan_pension
