campo,valor
nombre,Laura Sánchez Vidal
fecha_nacimiento,1990-05-22
estado_civil,pareja
regimen_economico,separacion
nacionalidad,es
anios_residencia,35
titulares,2
dependientes,0
bebes,0
discapacidad,no
ccaa,mad
municipio,gran
vivienda_actual,alquiler
t1_contrato,funcionario
t1_antiguedad,7
t1_sector,publico
t1_ingresos,2400
t1_pagas,14
t1_otros_ingresos,0
t2_contrato,funcionario
t2_antiguedad,5
t2_sector,salud
t2_ingresos,2200
t2_pagas,14
t2_otros_ingresos,0
cirbe,no
morosos,no
impagos,no
relacion_bancaria,7
g_personal,0
g_tarjetas,0
g_leasing,0
g_pension,0
g_alquiler,1100
g_otros,0
g_alimentacion,600
g_suministros,160
g_transporte,100
g_educacion,0
g_seguros,80
g_ocio,180
ahorro,52000
inversiones,8000
inmuebles,0
vehiculos,8000
plan_pension,5000
otros_activos,0
d_personal,0
d_tarjetas,0
d_hipoteca,0
d_otros,0
precio_compra,295000
valor_tasacion,300000
tipologia,primera
tipo_inmueble,piso
certificado_energetico,A
provincia,mad
importe_financiar,215000
plazo_anios,25
tipo_interes,fijo
tae,3.1
diferencial,0
carencia_meses,0
productos_vinculados,nomina|segurovida|segurohogar|tarjeta
