campo,valor
nombre,Antonio Morales Jiménez
fecha_nacimiento,1955-03-30
estado_civil,viudo
regimen_economico,no_aplica
nacionalidad,es
anios_residencia,70
titulares,1
dependientes,0
bebes,0
discapacidad,menor33
ccaa,and
municipio,media
vivienda_actual,alquiler
t1_contrato,pensionista
t1_antiguedad,0
t1_sector,publico
t1_ingresos,1650
t1_pagas,14
t1_otros_ingresos,200
t2_contrato,sin_ingresos
t2_antiguedad,0
t2_sector,otro
t2_ingresos,0
t2_pagas,12
t2_otros_ingresos,0
cirbe,si_medio
morosos,no
impagos,1
relacion_bancaria,20
g_personal,280
g_tarjetas,0
g_leasing,0
g_pension,0
g_alquiler,0
g_otros,0
g_alimentacion,500
g_suministros,180
g_transporte,80
g_educacion,0
g_seguros,120
g_ocio,150
ahorro,35000
inversiones,0
inmuebles,0
vehiculos,5000
plan_pension,12000
otros_activos,0
d_personal,8000
d_tarjetas,0
d_hipoteca,0
d_otros,0
precio_compra,140000
valor_tasacion,135000
tipologia,primera
tipo_inmueble,piso
certificado_energetico,E
provincia,mal
importe_financiar,120000
plazo_anios,20
tipo_interes,fijo
tae,4.1
diferencial,0
carencia_meses,0
productos_vinculados,segurovida|segurohogar
