campo,valor
nombre,Elena Castro Bravo
fecha_nacimiento,1983-09-14
estado_civil,divorciado
regimen_economico,no_aplica
nacionalidad,es
anios_residencia,42
titulares,1
dependientes,2
bebes,0
discapacidad,no
ccaa,mad
municipio,gran
vivienda_actual,alquiler
t1_contrato,indefinido
t1_antiguedad,11
t1_sector,salud
t1_ingresos,3100
t1_pagas,14
t1_otros_ingresos,0
t2_contrato,sin_ingresos
t2_antiguedad,0
t2_sector,otro
t2_ingresos,0
t2_pagas,12
t2_otros_ingresos,0
cirbe,si_bajo
morosos,si_saldado
impagos,1
relacion_bancaria,5
g_personal,320
g_tarjetas,80
g_leasing,0
g_pension,650
g_alquiler,0
g_otros,0
g_alimentacion,700
g_suministros,180
g_transporte,130
g_educacion,250
g_seguros,100
g_ocio,200
ahorro,38000
inversiones,0
inmuebles,0
vehiculos,9000
plan_pension,6000
otros_activos,0
d_personal,7000
d_tarjetas,2000
d_hipoteca,0
d_otros,0
precio_compra,245000
valor_tasacion,250000
tipologia,primera
tipo_inmueble,piso
certificado_energetico,C
provincia,mad
importe_financiar,185000
plazo_anios,22
tipo_interes,fijo
tae,3.5
diferencial,0
carencia_meses,0
productos_vinculados,nomina|segurovida
