campo,valor
nombre,Javier Montero Álvarez
fecha_nacimiento,1972-04-12
estado_civil,casado
regimen_economico,separacion
nacionalidad,es
anios_residencia,52
titulares,2
dependientes,2
bebes,0
discapacidad,no
ccaa,mad
municipio,gran
vivienda_actual,propietario
t1_contrato,indefinido
t1_antiguedad,18
t1_sector,financiero
t1_ingresos,7500
t1_pagas,14
t1_otros_ingresos,800
t2_contrato,indefinido
t2_antiguedad,12
t2_sector,salud
t2_ingresos,3200
t2_pagas,14
t2_otros_ingresos,0
cirbe,si_alto
morosos,no
impagos,no
relacion_bancaria,20
g_personal,0
g_tarjetas,0
g_leasing,680
g_pension,0
g_alquiler,0
g_otros,0
g_alimentacion,1200
g_suministros,350
g_transporte,300
g_educacion,600
g_seguros,400
g_ocio,600
ahorro,95000
inversiones,180000
inmuebles,480000
vehiculos,45000
plan_pension,65000
otros_activos,0
d_personal,0
d_tarjetas,4000
d_hipoteca,180000
d_otros,0
precio_compra,320000
valor_tasacion,315000
tipologia,segunda
tipo_inmueble,casa
certificado_energetico,C
provincia,alc
importe_financiar,230000
plazo_anios,15
tipo_interes,variable
tae,3.9
diferencial,0.55
carencia_meses,0
productos_vinculados,nomina|segurovida|segurohogar|fondos|plan_pension
