campo,valor
nombre,Lukas Weber Müller
fecha_nacimiento,1987-08-03
estado_civil,pareja
regimen_economico,no_aplica
nacionalidad,ue
anios_residencia,3
titulares,2
dependientes,1
bebes,1
discapacidad,no
ccaa,cat
municipio,gran
vivienda_actual,alquiler
t1_contrato,indefinido
t1_antiguedad,2
t1_sector,tecnologia
t1_ingresos,5800
t1_pagas,12
t1_otros_ingresos,0
t2_contrato,temporal
t2_antiguedad,1
t2_sector,educacion
t2_ingresos,1600
t2_pagas,12
t2_otros_ingresos,0
cirbe,no
morosos,no
impagos,no
relacion_bancaria,2
g_personal,0
g_tarjetas,0
g_leasing,0
g_pension,0
g_alquiler,2200
g_otros,0
g_alimentacion,900
g_suministros,220
g_transporte,150
g_educacion,200
g_seguros,120
g_ocio,400
ahorro,62000
inversiones,25000
inmuebles,0
vehiculos,12000
plan_pension,0
otros_activos,0
d_personal,0
d_tarjetas,0
d_hipoteca,0
d_otros,0
precio_compra,450000
valor_tasacion,460000
tipologia,primera
tipo_inmueble,piso
certificado_energetico,B
provincia,bar
importe_financiar,340000
plazo_anios,30
tipo_interes,mixto
tae,3.6
diferencial,0.6
carencia_meses,0
productos_vinculados,nomina|segurovida|segurohogar
