campo,valor
nombre,Marta Gil Herrero
fecha_nacimiento,1998-01-25
estado_civil,soltero
regimen_economico,no_aplica
nacionalidad,es
anios_residencia,27
titulares,1
dependientes,0
bebes,0
discapacidad,no
ccaa,cyl
municipio,media
vivienda_actual,familiar
t1_contrato,indefinido
t1_antiguedad,2
t1_sector,publico
t1_ingresos,1750
t1_pagas,14
t1_otros_ingresos,0
t2_contrato,sin_ingresos
t2_antiguedad,0
t2_sector,otro
t2_ingresos,0
t2_pagas,12
t2_otros_ingresos,0
cirbe,no
morosos,no
impagos,no
relacion_bancaria,3
g_personal,0
g_tarjetas,0
g_leasing,0
g_pension,0
g_alquiler,0
g_otros,0
g_alimentacion,400
g_suministros,120
g_transporte,80
g_educacion,0
g_seguros,40
g_ocio,120
ahorro,14000
inversiones,0
inmuebles,0
vehiculos,4000
plan_pension,0
otros_activos,0
d_personal,0
d_tarjetas,0
d_hipoteca,0
d_otros,0
precio_compra,112000
valor_tasacion,118000
tipologia,primera
tipo_inmueble,vpo
certificado_energetico,C
provincia,zar
importe_financiar,90000
plazo_anios,30
tipo_interes,fijo
tae,3.0
diferencial,0
carencia_meses,0
productos_vinculados,nomina|segurohogar
