campo,valor
nombre,Diego Fuentes Castillo
fecha_nacimiento,1991-06-14
estado_civil,soltero
regimen_economico,no_aplica
nacionalidad,es
anios_residencia,33
titulares,1
dependientes,0
bebes,0
discapacidad,no
ccaa,bal
municipio,media
vivienda_actual,alquiler
t1_contrato,autonomo
t1_antiguedad,1
t1_sector,hosteleria
t1_ingresos,2100
t1_pagas,12
t1_otros_ingresos,0
t2_contrato,sin_ingresos
t2_antiguedad,0
t2_sector,otro
t2_ingresos,0
t2_pagas,12
t2_otros_ingresos,0
cirbe,no
morosos,no
impagos,1
relacion_bancaria,1
g_personal,0
g_tarjetas,120
g_leasing,0
g_pension,0
g_alquiler,850
g_otros,0
g_alimentacion,500
g_suministros,150
g_transporte,120
g_educacion,0
g_seguros,60
g_ocio,250
ahorro,8500
inversiones,0
inmuebles,0
vehiculos,5000
plan_pension,0
otros_activos,0
d_personal,0
d_tarjetas,2800
d_hipoteca,0
d_otros,0
precio_compra,185000
valor_tasacion,180000
tipologia,primera
tipo_inmueble,piso
certificado_energetico,D
provincia,mal
importe_financiar,162000
plazo_anios,30
tipo_interes,variable
tae,4.2
diferencial,0.9
carencia_meses,0
productos_vinculados,
