campo,valor
nombre,Isabel Ruiz de la Torre
fecha_nacimiento,1968-12-02
estado_civil,viudo
regimen_economico,no_aplica
nacionalidad,es
anios_residencia,57
titulares,1
dependientes,1
bebes,0
discapacidad,no
ccaa,mad
municipio,gran
vivienda_actual,propietario
t1_contrato,autonomo
t1_antiguedad,4
t1_sector,comercio
t1_ingresos,1900
t1_pagas,12
t1_otros_ingresos,1200
t2_contrato,sin_ingresos
t2_antiguedad,0
t2_sector,otro
t2_ingresos,0
t2_pagas,12
t2_otros_ingresos,0
cirbe,no
morosos,no
impagos,no
relacion_bancaria,8
g_personal,0
g_tarjetas,0
g_leasing,0
g_pension,0
g_alquiler,0
g_otros,0
g_alimentacion,700
g_suministros,250
g_transporte,150
g_educacion,400
g_seguros,200
g_ocio,300
ahorro,85000
inversiones,120000
inmuebles,350000
vehiculos,22000
plan_pension,18000
otros_activos,95000
d_personal,0
d_tarjetas,0
d_hipoteca,0
d_otros,0
precio_compra,380000
valor_tasacion,390000
tipologia,primera
tipo_inmueble,piso
certificado_energetico,B
provincia,mad
importe_financiar,260000
plazo_anios,20
tipo_interes,fijo
tae,3.4
diferencial,0
carencia_meses,0
productos_vinculados,segurovida|segurohogar|fondos
